Public Filename,Canonical Term,Term ID,Domain,Ontology Filename,Mapped,Should Mark Public
Bitcoin,Bitcoin,BC-0500,blockchain,Bitcoin,Yes,Yes
Blockchain,Blockchain,BC-0001,blockchain,BC-0001-blockchain,Yes,Yes
Money,Money,DT-0002,cross-domain,Money,Yes,Yes
3D and 4D,NOT FOUND,,,,No,N/A (no ontology file)
AI Companies,NOT FOUND,,,,No,N/A (no ontology file)
AI Risks,NOT FOUND,,,,No,N/A (no ontology file)
AI Scrapers,NOT FOUND,,,,No,N/A (no ontology file)
AI Video,NOT FOUND,,,,No,N/A (no ontology file)
AI privacy at the 2024 Olympics,NOT FOUND,,,,No,N/A (no ontology file)
AICafev6,NOT FOUND,,,,No,N/A (no ontology file)
Accessibility,NOT FOUND,,,,No,N/A (no ontology file)
Adoption of Convergent Technologies,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Alliance,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Internet,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Metaverse for Global Creatives,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Mycelia,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Workshop,NOT FOUND,,,,No,N/A (no ontology file)
Agents,NOT FOUND,,,,No,N/A (no ontology file)
Ai in Games,NOT FOUND,,,,No,N/A (no ontology file)
Algorithmic Bias and Variance,NOT FOUND,,,,No,N/A (no ontology file)
AnimateDiff,NOT FOUND,,,,No,N/A (no ontology file)
Anthropic Claude,NOT FOUND,,,,No,N/A (no ontology file)
Apple,NOT FOUND,,,,No,N/A (no ontology file)
Artificial Intelligence,NOT FOUND,,,,No,N/A (no ontology file)
Automated Podcasting,NOT FOUND,,,,No,N/A (no ontology file)
BTC Layer 3,NOT FOUND,,,,No,N/A (no ontology file)
Bias in Large Language Models,NOT FOUND,,,,No,N/A (no ontology file)
Bitcoin As Money,NOT FOUND,,,,No,N/A (no ontology file)
Bitcoin ETF,NOT FOUND,,,,No,N/A (no ontology file)
Bitcoin Technical Overview,NOT FOUND,,,,No,N/A (no ontology file)
Bitcoin Value Proposition,NOT FOUND,,,,No,N/A (no ontology file)
Blender,NOT FOUND,,,,No,N/A (no ontology file)
Calculating Empires,NOT FOUND,,,,No,N/A (no ontology file)
California AI bill,NOT FOUND,,,,No,N/A (no ontology file)
Call Centres,NOT FOUND,,,,No,N/A (no ontology file)
Cashu,NOT FOUND,,,,No,N/A (no ontology file)
ChatGPT,NOT FOUND,,,,No,N/A (no ontology file)
Client side DCO,NOT FOUND,,,,No,N/A (no ontology file)
Coding support,NOT FOUND,,,,No,N/A (no ontology file)
Comfy UI for Fashion and Brands,NOT FOUND,,,,No,N/A (no ontology file)
