Original_Filename,Original_Path,Term_ID,Primary_Domain,Target_KG,Target_Path,Migration_Action,Priority,Blockchain_Relevance
51% Attack.md,/home/user/logseq/mainKnowledgeGraph/pages/51% Attack.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/51% Attack.md,MOVE,HIGH,HIGH
AI Risk.md,/home/user/logseq/mainKnowledgeGraph/pages/AI Risk.md,,MetaverseDomain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Acceleration.md,/home/user/logseq/mainKnowledgeGraph/pages/Acceleration.md,RB-0045,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Acceleration.md,MOVE,EXCLUDE,NONE
Account Model.md,/home/user/logseq/mainKnowledgeGraph/pages/Account Model.md,,Blockchain + AI,cross-domain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/cross-domain-knowledge-graph/pages/Account Model.md,MOVE,MEDIUM,MEDIUM
Address.md,/home/user/logseq/mainKnowledgeGraph/pages/Address.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Address.md,MOVE,HIGH,HIGH
BC 0102 inflation.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0102 inflation.md,BC-0102,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0102 inflation.md,MOVE,HIGH,HIGH
BC 0103 halving.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0103 halving.md,BC-0103,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0103 halving.md,MOVE,HIGH,HIGH
BC 0104 supply cap.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0104 supply cap.md,BC-0104,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0104 supply cap.md,MOVE,HIGH,HIGH
BC 0109 priority fee.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0109 priority fee.md,BC-0109,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0109 priority fee.md,MOVE,HIGH,HIGH
BC 0110 fee market.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0110 fee market.md,BC-0110,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0110 fee market.md,MOVE,HIGH,HIGH
BC 0111 deflationary token.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0111 deflationary token.md,BC-0111,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0111 deflationary token.md,MOVE,HIGH,HIGH
BC 0112 inflationary token.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0112 inflationary token.md,BC-0112,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0112 inflationary token.md,MOVE,HIGH,HIGH
BC 0114 burning mechanism.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0114 burning mechanism.md,BC-0114,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0114 burning mechanism.md,MOVE,HIGH,HIGH
BC 0115 minting.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0115 minting.md,BC-0115,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0115 minting.md,MOVE,HIGH,HIGH
BC 0116 total supply.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0116 total supply.md,BC-0116,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0116 total supply.md,MOVE,HIGH,HIGH
BC 0117 circulating supply.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0117 circulating supply.md,BC-0117,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0117 circulating supply.md,MOVE,HIGH,HIGH
BC 0119 economic security.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0119 economic security.md,BC-0119,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0119 economic security.md,MOVE,HIGH,HIGH
Block Time.md,/home/user/logseq/mainKnowledgeGraph/pages/Block Time.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Block Time.md,MOVE,HIGH,HIGH
Blockchain Network.md,/home/user/logseq/mainKnowledgeGraph/pages/Blockchain Network.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Blockchain Network.md,MOVE,HIGH,HIGH
Coin.md,/home/user/logseq/mainKnowledgeGraph/pages/Coin.md,,Economics,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Coin.md,MOVE,HIGH,HIGH
Collaborative Operation.md,/home/user/logseq/mainKnowledgeGraph/pages/Collaborative Operation.md,RB-0103,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Collaborative Operation.md,MOVE,EXCLUDE,NONE
Computed Torque Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Computed Torque Control.md,RB-0064,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Computed Torque Control.md,MOVE,EXCLUDE,NONE
Cryptographic Commitment.md,/home/user/logseq/mainKnowledgeGraph/pages/Cryptographic Commitment.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Cryptographic Commitment.md,MOVE,HIGH,HIGH
Cryptography.md,/home/user/logseq/mainKnowledgeGraph/pages/Cryptography.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Cryptography.md,MOVE,HIGH,HIGH
Degrees Of Freedom.md,/home/user/logseq/mainKnowledgeGraph/pages/Degrees Of Freedom.md,RB-0023,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Degrees Of Freedom.md,MOVE,EXCLUDE,NONE
Difficulty.md,/home/user/logseq/mainKnowledgeGraph/pages/Difficulty.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Difficulty.md,MOVE,HIGH,HIGH
Digital Signature.md,/home/user/logseq/mainKnowledgeGraph/pages/Digital Signature.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Digital Signature.md,MOVE,HIGH,HIGH
ETSI_Domain_Virtual_Society.md,/home/user/logseq/mainKnowledgeGraph/pages/ETSI_Domain_Virtual_Society.md,,Blockchain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
